产品名称,产品昵称,简称,运营商/平台,单机/网游,细分品类
300大作战,,,其他,网游,MOBA
传说对决,,,其他,网游,MOBA
捉妖记,,,其他,网游,MMO
大耳朵图图美食酷跑,,,其他,单机弱联网,跑酷躲避
城市大乱斗,,,其他,网游,休闲益智
作妖计,,,其他,网游,卡牌RPG
史上最坑爹的游戏8,,,其他,单机弱联网,休闲益智
集结号捕鱼,,,其他,网游,休闲益智
枪战英雄,,,其他,网游,枪战射击
全民乐舞,,,其他,网游,音乐舞蹈
传奇霸业,,,其他,网游,ARPG
凤凰心计,,,其他,网游,模拟经营
夏目的美丽日记,,,其他,单机弱联网,模拟经营
优乐跑胡子,,,其他,网游,棋牌
凡仙,,,其他,网游,ARPG
升级,,,其他,单机弱联网,棋牌
Frog Jump,,,其他,单机弱联网,休闲益智
Many Bricks Breaker,,,其他,单机弱联网,休闲益智
悠悠恋物语,,,其他,单机弱联网,休闲益智
地铁驾驶模拟3D,,,其他,单机弱联网,模拟经营
终极蜘蛛人英雄,,,其他,单机弱联网,ARPG
熊出没大冒险,,,其他,单机弱联网,休闲益智
Knife Hit,,,其他,单机弱联网,休闲益智
腾讯四川麻将,,,腾讯,网游,棋牌
850棋牌金蟾捕鱼,,,其他,单机弱联网,休闲益智
长生劫,,,其他,单机弱联网,休闲益智
最逵蜗番,,其他,单机弱联网,休闲益智,
机甲奥特曼,,,其他,单机弱联网,跑酷躲避
口袋妖怪单机版,,,其他,单机弱联网,ARPG
二战狙击,,,其他,网游,枪战射击
东京战纪,,,其他,网游,ARPG
暴走英雄坛,,,其他,网游,ARPG
Snake VS Block,,,其他,单机弱联网,休闲益智
熊出没4丛林冒险,,,其他,单机弱联网,跑酷躲避
小米超神,,,其他,网游,ARPG
贪吃小怪物,,,腾讯,单机弱联网,休闲益智
拳皇97OL,,,其他,网游,ARPG
抓娃娃达人,,,其他,网游,休闲益智
牵手跑胡子,,,其他,网游,棋牌
熊出没机甲熊大2,,,其他,网游,休闲益智
