产品名称,产品拼音首字母,产品昵称,运营商/平台,单机/网游,细分品类,,,,,,,
召唤与合成,ZHYHC,,其他,网游,休闲益智,,,,,,,
300大作战,300DZZ,,其他,网游,MOBA,,,,,,,
传说对决,CSDJ,,其他,网游,MOBA,,,,,,,
捉妖记,ZYJ,,其他,网游,MMO,,,,,,,
大耳朵图图美食酷跑,DEDTTMSKP,,其他,单机弱联网,跑酷躲避,,,,,,,
城市大乱斗,CSDLD,,其他,网游,休闲益智,,,,,,,
作妖计,ZYJ,,其他,网游,卡牌RPG,,,,,,,
史上最坑爹的游戏8,SSZKDDYX8,,其他,单机弱联网,休闲益智,,,,,,,
集结号捕鱼,JJHBY,,其他,网游,休闲益智,,,,,,,
枪战英雄,QZYX,,其他,网游,枪战射击,,,,,,,
全民乐舞,QMLW,,其他,网游,音乐舞蹈,,,,,,,
传奇霸业,CQBY,,其他,网游,ARPG,,,,,,,
凤凰心计,FHXJ,,其他,网游,模拟经营,,,,,,,
夏目的美丽日记,XMDMLRJ,,其他,单机弱联网,模拟经营,,,,,,,
优乐跑胡子,YLPHZ,,其他,网游,棋牌,,,,,,,
凡仙,FX,,其他,网游,ARPG,,,,,,,
升级,SJ,,其他,单机弱联网,棋牌,,,,,,,
Frog Jump,Frog Jump,,其他,单机弱联网,休闲益智,,,,,,,
Many Bricks Breaker,Many Bricks Breaker,,其他,单机弱联网,休闲益智,,,,,,,
悠悠恋物语,YYLWY,,其他,单机弱联网,休闲益智,,,,,,,
地铁驾驶模拟3D,DTJSMN3D,,其他,单机弱联网,模拟经营,,,,,,,
终极蜘蛛人英雄,ZJZZRYX,,其他,单机弱联网,ARPG,,,,,,,
熊出没大冒险,XCMDMX,,其他,单机弱联网,休闲益智,,,,,,,
Knife Hit,Knife Hit,,其他,单机弱联网,休闲益智,,,,,,,
腾讯四川麻将,TYSCMJ,,腾讯,网游,棋牌,,,,,,,
850棋牌金蟾捕鱼,850QPJCBY,,其他,单机弱联网,休闲益智,,,,,,,
长生劫,CSJ,,其他,单机弱联网,休闲益智,,,,,,,
最囧游戏,ZZYX,,其他,单机弱联网,休闲益智,,,,,,,
机甲奥特曼,JJATM,,其他,单机弱联网,跑酷躲避,,,,,,,
口袋妖怪单机版,KDYGDJB,,其他,单机弱联网,ARPG,,,,,,,
二战狙击,EZJJ,,其他,网游,枪战射击,,,,,,,
东京战纪,DJZJ,,其他,网游,ARPG,,,,,,,
暴走英雄坛,BZYXT,,其他,网游,ARPG,,,,,,,
Snake VS Block,Snake VS Block,,其他,单机弱联网,休闲益智,,,,,,,
