产品名称,产品拼音首字母,产品昵称,运营商/平台,单机/网游,细分品类,,,,,,,
赛尔号超级英雄,SEHCJYX,,其他,网游,ARPG,,,,,,,
拳皇98格斗,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
拳皇98 终极之战-OL,QH98 ZJZZ-OL,,腾讯,网游,卡牌RPG,,,,,,,
拳皇97高清版,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
拳皇97,QH97,,其他,单机弱联网,ARPG,,,,,,,
拳皇2012,RXATCR,,其他,网游,ARPG,,,,,,,
全民无双,QMWS,,腾讯,网游,ARPG,,,,,,,
魔龙与勇士,RXATCR,,腾讯,网游,ARPG,,,,,,,
龙珠激斗（七龙珠正版手游）,LZJD（QLZZBSY）,,腾讯,网游,卡牌RPG,,,,,,,
龙之丘,RXATCR,,其他,网游,ARPG,,,,,,,
火柴人突击格斗,HCRTJGD,,其他,单机弱联网,ARPG,,,,,,,
恐龙快打,KLKD,,其他,单机弱联网,ARPG,,,,,,,
恐龙快打,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
看你怎么死,KNZMS,,其他,单机弱联网,休闲益智,,,,,,,
九龙战,RXATCR,,腾讯,网游,ARPG,,,,,,,
剑魂之刃,JHZR,,昆仑,网游,ARPG,,,,,,,
火柴人联盟,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
滑雪大冒险2,HXDMX2,,其他,单机弱联网,休闲益智,,,,,,,
横扫西游,RXATCR,,腾讯,网游,ARPG,,,,,,,
合金弹头2,HJDT2,,其他,单机弱联网,飞行射击,,,,,,,
宫爆老奶奶2,RXATCR,,腾讯,单机弱联网,休闲益智,,,,,,,
宫爆：老奶奶家族篇,GB：LNNJZP,,其他,单机弱联网,休闲益智,,,,,,,
功夫熊猫3,RXATCR,,网易,网游,ARPG,,,,,,,
格斗江湖,HXDMX3,,其他,网游,ARPG,,,,,,,
斗龙战士3龙印之战,RXATCR,,其他,网游,ARPG,,,,,,,
超级电玩城,CJDWC,,其他,单机弱联网,休闲益智,,,,,,,
超凡蜘蛛侠2,RXATCR,,其他,单机弱联网,ARPG,,,,,,,
崩坏学园2,BHXY2,,其他,单机弱联网,枪战射击,,,,,,,
暗影格斗2,AYGD2,,其他,单机弱联网,ARPG,,,,,,,
战争总动员,ZZZDY,,其他,网游,战争策略,,,,,,,
战警:大国崛起,ZJ:DGZQ,,其他,网游,战争策略,,,,,,,
小小帝国,XXDG,,其他,单机弱联网,战争策略,,,,,,,
天天斗三国,TTDSG,,腾讯,网游,COC类,,,,,,,
复兴.罗马帝国,FX.LMDG,,其他,网游,战争策略,,,,,,,
坦克风云,TKFY,,其他,网游,战争策略,,,,,,,
世界征服者3,SJZFZ3,,其他,单机弱联网,战争策略,,,,,,,
丧尸之战,SSZZ,,其他,单机弱联网,战争策略,,,,,,,
三国群英传一,SGQYCY,,其他,单机弱联网,战争策略,,,,,,,
七雄争霸,QXZB,,腾讯,网游,战争策略,,,,,,,
欧陆战争3,OLZZ3,,其他,单机弱联网,战争策略,,,,,,,
陌陌争霸,MMZB,,其他,网游,战争策略,,,,,,,
龙骑帝国,LQDG,,腾讯,网游,COC类,,,,,,,
COK列王的纷争,COKLWDFZ,,其他,网游,战争策略,,,,,,,
口袋妖怪复刻,KDYGFK,,其他,网游,ARPG,,,,,,,
紅警王牌坦克,JJWPTK,,其他,单机弱联网,战争策略,,,,,,,
紅警坦克帝国OL,JJTKDGOL,,其他,网游,战争策略,,,,,,,
红色警戒军团,HSJJJT,,其他,单机弱联网,战争策略,,,,,,,
红警2共和国崛起,HJ2GHGZQ,,其他,单机弱联网,战争策略,,,,,,,
横扫千军,HSQJ,,其他,网游,战争策略,,,,,,,
海岛奇兵,HDQB,,昆仑,网游,COC类,,,,,,,
最高警戒,ZGJJ,,其他,单机弱联网,战争策略,,,,,,,
辐射:庇护所,FS:BHS,,其他,单机弱联网,战争策略,,,,,,,
风云天下OL,FYTXOL,,其他,网游,战争策略,,,,,,,
